Time,q_day
1,142.3887316
2,110.6726853
3,121.6944617
4,705.4543359
5,157.0327294
6,275.026291
7,483.3661274
8,309.9993985
9,1309.565634
10,1175.734418
11,659.6703735
12,116.7765403
13,1040.349525
14,523.064325
15,467.7121644
16,65.61696284
17,534.1328657
18,905.967319
19,941.1962373
20,544.2613656
21,265.0438289
22,197.5299697
23,1205.63497
24,947.6595858
25,1012.171925
26,142.42987
27,389.6239965
28,439.0970921
29,1309.338148
30,631.5293026
31,77.19711436
32,76.74153905
33,454.1008078
34,1283.160892
35,519.8780234
36,304.3920076
37,186.426599
38,335.8224585
39,182.8215982
40,540.8551793
41,1118.899234
42,138.4384791
43,116.2161806
44,88.28038925
45,191.5596687
46,73.72060539
