Time,q_day
1,136
2,339
3,1090
4,462
5,191
6,141
7,848
8,2040
9,1970
10,1010
11,754
12,475
13,270
14,258
15,242
16,251
17,812
18,657
19,766
20,322
21,217
22,150
23,684
24,886
25,638
26,622
27,836
28,1050
29,311
30,228
31,171
32,673
33,1330
34,1480
35,606
36,255
37,164
38,683
39,717
40,521
41,402
42,292
43,124
44,608
45,953
46,1190
47,1260
48,720
49,488
50,158
51,472
52,720
53,678
54,492
55,570
56,515
57,400
58,273
59,167
60,156
61,133
62,124
63,275
64,245
65,544
66,906
67,541
68,613
69,441
70,318
