Time,q_day
1,101.2555566
2,500.5768859
3,837.8220206
4,490.3578806
5,1215.705571
6,180.8232137
7,234.726209
8,185.5087354
9,187.5434062
10,416.985603
11,446.3097644
12,1393.883833
13,1358.05009
14,167.505448
15,593.2117737
16,1473.514044
17,1356.028217
18,1470.480731
19,665.6344097
20,477.3665467
21,736.1659198
22,1421.492247
23,1608.391139
24,1626.967716
25,1336.960595
26,277.1955038
27,1020.044521
28,198.689051
29,334.6927102
30,83.31258903
31,1546.095079
32,510.6740593
33,1275.721693
34,652.6409033
35,605.309108
36,1405.024604
37,1498.829846
38,1608.419018
39,1556.625283
40,583.0051415
41,1115.41696
42,282.9837842
43,1027.00756
44,1289.774107
45,1640.801804
46,1215.825246
47,1053.898987
48,1666.960035
49,371.5267761
50,1000.453419
51,285.5553641
52,1376.532292
53,1305.314376
54,320.3476399
55,416.3612998
56,160.9674255
57,400.984303
58,1491.485037
59,1399.318994
60,313.9182973
61,190.085473
62,197.9882482
63,135.3731686
64,292.3013805
65,476.2142919
66,172.0696435
67,162.0688976
68,131.6531016
69,329.675211
70,633.355178
71,1448.301206
72,110.1370245
73,212.7828539
74,142.6250838
75,1243.055611
76,413.1330654
77,1220.528794
78,1031.153751
79,341.4785322
