COMID,ReachLen,RivmouDist,UpArea,SectionID,FlagObs,FlagConf,FlagRes,NumXs,WidLgMean,WidLgCV,AHGb,AreaHID,DisObsMean,DisObsHigh,DisObsLin,DisAprMean,DisAprHigh,DisPreMean,DisPreHigh,DisPreLow,DisPreReg,DisRelGap,SlpApr,SlpPreReg,PostRelUnc
43028209,18109,5951419.4,7093.559968,0,0,0,0,,,,,,,,111.6483265,41.44070945,145.482342,,,,,,,,
43028181,4211,5947208.4,7192.798745,0,0,0,0,,,,,,,,111.6483265,42.07273224,148.550036,,,,,,,,
43028174,8241.9,5938966.5,7331.188577,0,0,0,0,,,,,,,,111.6483265,42.93778405,148.713904,,,,,,,,
43028170,4141.1,5934825.4,7401.720285,0,0,0,0,,,,,,,,111.6483265,43.36579609,147.47117,,,,,,,,
43028167,8528.5,5926296.9,7520.886022,0,0,0,0,,,,,,,,111.6483265,44.1093364,148.772052,,,,,,,,
43028158,3611.8,5922032.4,8040.468294,0,0,0,0,,,,,,,,111.6483265,46.94726049,153.685732,,,,,,,,
43028154,5582.5,5916449.9,8332.466095,0,0,0,0,,,,,,,,111.6483265,48.79766973,157.718372,,,,,,,,
43028150,2975.2,5913474.7,9452.782411,0,0,0,0,,,,,,,,111.6483265,55.63464692,175.016658,,,,,,,,
43028149,21904.1,5891570.6,9562.437795,0,0,0,0,,,,,,,,111.6483265,56.20323195,176.220752,,,,,,,,
43028010,17476.4,5874094.2,15296.14906,0,0,0,0,,,,,,,,111.6483265,91.80770473,277.650556,,,,,,,,
43028006,1851.7,5872242.5,15457.14282,0,0,0,0,,,,,,,,111.6483265,92.54063167,278.132546,,,,,,,,
43028005,10184,5862058.5,17063.67609,0,0,0,0,14,5.021900924,,,,,,111.6483265,98.37016024,297.054348,,,,,,,,
43028003,3824.4,5858234.1,17306.22849,0,0,0,0,4,9.339135679,0.002463879,0.032144208,,,,111.6483265,99.21576507,298.540244,,,,,,,,
43028001,3991.1,5854243,17436.75203,0,0,0,0,6,9.473277024,0.003165713,0.035339274,,,,111.6483265,99.78714435,297.666118,,,,,,,,
43027999,7215.8,5847027.2,17533.35055,0,0,0,0,13,7.50621999,,,,,,111.6483265,100.1926481,300.157604,,,,,,,,
43027996,10673.5,5836353.7,18021.41487,0,0,0,0,16,9.349048989,0.001433143,0.027743843,,,,111.6483265,102.1406909,302.08815,,,,,,,,
43024922,9399.1,5826198.4,18507.13109,0,0,0,0,15,8.957809893,0.049799836,0.225833418,,,,111.6483265,104.8959163,306.47725,,,,,,,,
43024921,4791,5821407.4,18716.51059,0,0,0,0,5,4.69787054,0.058115363,0.146597846,,,,111.6483265,106.1009691,308.863772,,,,,,,,
43024917,2009.5,5818343.1,18804.48131,0,0,0,0,,,,,,,,111.6483265,106.6552492,311.404344,,,,,,,,
43024916,10932.9,5807410.2,19134.93132,0,0,0,0,22,4.436475419,,,,,,111.6483265,108.4087992,314.75875,,,,,,,,
43024911,3425,5803985.2,19365.00074,0,0,0,0,5,4.592230065,0.018957009,0.061463754,,,,111.6483265,109.7323437,318.391172,,,,,,,,
43024908,7681.2,5795293.3,19656.99266,0,0,0,0,14,5.276800398,0.012544639,0.051914324,,,,111.6483265,111.2859621,320.258084,,,,,,,,
43024906,1968.8,5793324.5,19705.70073,0,0,0,0,4,5.42093391,0.176072244,0.458569111,,,,111.6483265,111.5854794,319.773802,,,,,,,,
43024904,3595.8,5789728.7,19773.79111,0,0,0,0,7,4.961545957,0.137845393,0.334711439,,,,111.6483265,111.9383069,321.333216,,,,,,,,
43027947,9110.1,5780618.6,19863.78305,0,0,0,0,17,5.050982136,0.112203448,0.281062478,,,,111.6483265,112.3934437,320.730892,,,,,,,,
43027941,2344.6,5777442,20063.06469,0,0,0,0,4,4.731165097,,,,,,111.6483265,113.2918221,324.246314,,,,,,,,
43027940,1751.8,5775690.2,20572.1173,0,0,0,0,3,4.776461571,0.160858781,0.373354123,,,,111.6483265,115.4703469,329.03738,,,,,,,,
43027938,7317.3,5768372.9,20639.25172,0,0,0,0,12,4.786012275,0.147764559,0.34536753,,,,111.6483265,115.6698077,328.62154,,,,,,,,
43027937,9234.6,5759138.3,20696.91764,0,0,0,0,17,5.095258839,0.071973017,0.189494942,,,,111.6483265,115.7946569,328.085638,,,,,,,,
43027933,3586.5,5755551.8,20861.73916,0,0,0,0,6,4.20787757,0.089393759,0.19381513,,,,111.6483265,116.1637654,329.018932,,,,,,,,
43027930,3896.5,5751655.3,20915.04432,0,0,0,0,7,4.406494187,0.089726915,0.202615481,,,,111.6483265,116.279134,329.570912,,,,,,,,
43027929,4697.8,5746957.5,20953.00742,0,0,0,0,9,4.26681345,0.027796367,0.075905955,,,,111.6483265,116.3635329,329.455772,,,,,,,,
43027928,3332.1,5743625.4,21128.79643,0,0,0,0,6,4.569443778,0.038478767,0.1021034,,,,111.6483265,116.7569959,329.849092,,,,,,,,
43027925,9238.1,5734387.3,21199.46115,0,0,0,0,18,4.386001097,0.093686867,0.20972492,,,,111.6483265,116.9202091,328.304688,,,,,,,,
43027923,1862.4,5732524.9,21391.09695,0,0,0,0,4,4.563854734,0.075182087,0.178690393,,,,111.6483265,117.5404614,330.99896,,,,,,,,
43027922,8107.5,5724417.4,21466.72171,0,0,0,0,16,4.306553934,0.093934295,0.206805257,,,,111.6483265,117.7172215,330.36233,,,,,,,,
43027921,4399.4,5720018,21529.14832,0,0,0,0,8,4.342725829,0.083347415,0.187312986,,,,111.6483265,117.8764504,331.454872,,,,,,,,
43027920,24098.3,5695919.7,22826.47261,0,0,0,0,35,4.158311795,0.054094991,0.124589289,,,,111.6483265,121.8269214,339.216596,,,,,,,,
43027917,3305.4,5692614.3,22864.9396,1,0,0,0,7,4.201852686,0.091023944,0.196704401,0,,,111.6483265,121.9874781,338.994408,111.8282908,176.0879799,67.37625153,90.3307042,0.001611885,0.501649888,0.509507326,0.972130823
43027916,8083,5684531.3,22944.69837,1,0,0,0,16,4.820776897,0.122287603,0.291492828,0,,,111.6483265,122.3204309,340.080388,131.4030896,151.1387123,108.9274621,94.44905192,0.176937387,0.501649888,0.509507326,0.321234838
43027914,9854,5674677.3,29493.9329,1,0,0,0,20,4.200427544,0.107748911,0.228806386,0,,,111.6483265,149.9058425,411.338242,97.35984974,128.3128087,72.796303,99.46973712,-0.127977527,0.501649888,0.509507326,0.570219714
